GEOID,MedianIncome,Pickup,,,,,,,,Row Labels, TotalPopulation,Population_Denisty, Employment_Density,Percent_Zero_Car_Ownership, LandUse_Diversity,Distancefromthepopulation-weightedcentroidto nearesttransit station
17031010201,41125,305,,,,,,,,17011964700,2941,0.140960979,0.018636974,0.078895389,1.31900472,-399996
17031010202,45236,233,,,,,,,,17011964800,3505,0.153288489,0.035959221,0.109266864,2.377457993,-399996
17031010300,72917,280,,,,,,,,17011964900,2567,6.384651152,1.602230872,0.320018315,2.688617216,-299997
17031010400,58438,240,,,,,,,,17011965000,3765,1.868507128,0.198856158,0.118394189,10.04315785,-499995
17031010501,52747,234,,,,,,,,17011965100,3893,1.215633708,0.342472819,0.096323638,1.751571654,-299997
17031010502,47222,112,,,,,,,,17011965200,3459,10.79152974,2.830474239,0.241939379,1.604461966,-399996
17031010503,46964,226,,,,,,,,17011965300,3273,8.236793093,3.011473365,0.235653935,7.080897833,-299997
17031010600,76838,381,,,,,,,,17011965400,3470,7.336268767,4.18691699,0.352247158,3.578843647,-299997
17031010701,74038,29,,,,,,,,17011965500,3635,0.450956019,0.038811824,0.027950311,1.013727932,-399996
17031010702,48989,201,,,,,,,,17011965600,2873,0.560971889,0.092157166,0.144949619,1.610633709,-399996
17031020100,61300,63,,,,,,,,17031010100,4522,148.7405081,10.29050471,1.436972452,0.373485135,1016.57
17031020200,91402,58,,,,,,,,17031010201,7039,177.3570646,4.471236341,0.681972511,0.207726499,702.75
17031020301,74338,9,,,,,,,,17031010202,2852,72.55717985,17.13668284,0.864719131,1.44858903,387.59
17031020302,109202,35,,,,,,,,17031010300,6650,233.8836878,38.32917911,1.340218833,1.387292585,737.61
17031020400,79773,37,,,,,,,,17031010400,5153,194.1344316,87.21565604,0.967344978,7.394434813,457.32
17031020500,50927,130,,,,,,,,17031010501,4147,254.666084,9.244714322,1.344333949,0.199231902,339.3
17031020601,40352,58,,,,,,,,17031010502,2802,125.9963192,8.743987378,0.951666667,0.293253968,388.93
17031020602,53152,63,,,,,,,,17031010503,1713,69.02321645,12.9961342,0.969134229,0.788577312,508.28
17031020701,106691,11,,,,,,,,17031010600,6271,201.1944268,32.76916728,1.658134273,2.716213776,1046.07
17031020702,50466,101,,,,,,,,17031010701,3766,71.97495021,2.585368504,0.418334096,0.19203869,586.07
17031020801,62757,104,,,,,,,,17031010702,5096,225.356021,56.502267,1.368252323,2.435806637,701.4
17031020802,44697,205,,,,,,,,17031020100,3836,74.3080752,52.34247123,0.328742903,3.377659681,685.31
17031020901,47644,95,,,,,,,,17031020200,6739,99.93576795,15.07976301,0.156836841,1.798255646,1213.72
17031020902,39728,95,,,,,,,,17031020301,5472,86.48294496,12.05265839,0.48390993,1.027662069,855.63
17031030101,57627,248,,,,,,,,17031020302,5348,114.8483696,13.4891803,0.502875652,1.15524336,346.01
17031030102,77500,139,,,,,,,,17031020400,4236,91.33656288,3.710600469,0.33388708,0.396414209,666.54
17031030103,98083,71,,,,,,,,17031020500,6584,255.2420945,21.92338057,0.669933336,1.025772517,1275.41
17031030104,65625,19,,,,,,,,17031020601,6131,121.3525313,10.45149942,0.659068752,0.807924938,488.16
17031030200,114474,298,,,,,,,,17031020602,4734,155.7741601,52.48889313,0.863264334,4.18494793,995.11
17031030300,50750,59,,,,,,,,17031020701,1748,33.93252897,12.31115039,0.052502334,2.555475504,453.3
17031030400,66731,75,,,,,,,,17031020702,7674,179.126689,17.12872696,0.366247663,1.330214874,1088.98
17031030500,111466,399,,,,,,,,17031020801,6112,150.8713559,20.95252512,0.35674423,1.654581356,844.91
17031030601,31722,131,,,,,,,,17031020802,7952,204.889674,43.62420445,0.506468149,2.745975307,934.77
17031030603,44022,69,,,,,,,,17031020901,5966,148.6448883,7.97656139,0.625269454,0.405321131,1070.22
17031030604,73009,179,,,,,,,,17031020902,4680,93.31091553,21.43129896,0.495300924,1.74730475,655.81
17031030701,62857,40,,,,,,,,17031030101,3768,553.6610584,50.67129518,1.316247639,0.796144025,831.49
17031030702,101250,19,,,,,,,,17031030102,2703,417.8874681,49.50429523,1.585652122,0.857112078,718.84
17031030703,74479,268,,,,,,,,17031030103,2252,233.165261,37.89217927,0.803478919,0.724317316,371.49
17031030706,67893,219,,,,,,,,17031030104,3569,326.9268784,4.039154758,1.032325339,0.122807018,386.24
17031030800,141652,267,,,,,,,,17031030200,5444,132.2286325,18.22109817,1.00490347,1.149956938,1122.51
17031030900,159800,204,,,,,,,,17031030300,3464,89.239296,4.544501476,0.592186064,0.24225462,555.23
17031031000,107629,268,,,,,,,,17031030400,2582,60.0306415,9.791974479,0.388555886,0.748638756,492.19
17031031100,106941,561,,,,,,,,17031030500,6428,174.2078425,16.70288622,1.141420427,0.833252463,764.45
17031031200,45547,523,,,,,,,,17031030601,3956,502.2623545,30.88414083,1.271271096,0.276543806,692.02
17031031300,53750,472,,,,,,,,17031030603,2258,157.571482,13.25517027,1.08547632,0.287170516,556.56
17031031400,119167,1047,,,,,,,,17031030604,3344,426.3663522,13.27514492,1.519925478,0.142531394,651.79
17031031501,41417,219,,,,,,,,17031030701,1712,99.14950458,27.39352551,0.493895671,0.524972253,285.66
17031031502,36473,433,,,,,,,,17031030702,2252,815.1683783,125.683691,0.826508972,0.561980999,135.45
17031031700,124625,721,,,,,,,,17031030703,2909,264.8967093,25.1894045,1.700490524,0.937326773,591.43
17031031800,138750,74,,,,,,,,17031030706,2928,153.3894619,16.69794584,1.055165413,0.513285596,154.23
17031031900,141600,112,,,,,,,,17031030800,4392,125.9753946,24.07599281,0.968740398,1.725387887,1236.52
17031032100,127901,1494,,,,,,,,17031030900,3061,121.0733179,37.14009191,0.731847964,3.411052484,863.69
17031040100,138889,102,,,,,,,,17031031000,4089,117.524036,37.34016029,0.609808305,1.972389326,930.74
17031040201,93750,346,,,,,,,,17031031100,5059,123.621648,27.85839679,1.015044178,1.533111673,1029.98
17031040202,54868,143,,,,,,,,17031031200,5937,304.0193262,56.17716865,1.601164036,1.757168824,780.53
17031040300,92656,55,,,,,,,,17031031300,7604,561.1078999,72.84951945,2.256627936,1.52754252,806.01
17031040401,126845,30,,,,,,,,17031031400,4853,315.1977747,64.95790525,1.571454254,0.883287389,1016.56
17031040402,137000,340,,,,,,,,17031031501,4587,355.627497,47.17584373,1.438715733,0.720579832,669.22
17031040600,106375,152,,,,,,,,17031031502,4651,379.14126,22.68381681,1.578803456,0.344979134,508.28
17031040700,130281,73,,,,,,,,17031031700,6691,225.6497299,22.73932599,1.60960634,0.808920716,1247.24
17031040800,109688,7,,,,,,,,17031031800,1857,34.68875389,16.98011701,0.284679089,0.940993789,238.72
17031040900,180278,76,,,,,,,,17031031900,2566,80.62838837,18.92361524,0.60603875,0.95557814,516.33
17031050100,158750,104,,,,,,,,17031032100,6837,426.4792053,71.66581253,2.251328002,3.457643709,535.1
17031050200,159821,289,,,,,,,,17031040100,3879,72.66261615,9.163791921,0.374303979,2.215673798,878.43
17031050300,116806,37,,,,,,,,17031040201,6891,161.0417198,69.50164063,0.75070892,5.251733685,957.55
17031050500,205417,200,,,,,,,,17031040202,7265,190.0787338,13.35144879,0.933245668,0.68148916,995.11
17031050600,216477,183,,,,,,,,17031040300,2925,61.01527127,9.767687006,0.086843885,1.569258889,945.48
17031050700,171429,35,,,,,,,,17031040401,3347,143.0548839,12.30362578,0.642850697,1.063906384,966.95
17031050800,196250,17,,,,,,,,17031040402,5269,202.0206638,27.01223888,0.805290241,1.056244706,737.61
17031050900,137083,5,,,,,,,,17031040600,2514,90.76412275,31.14872377,0.580608803,2.189080658,921.35
17031051000,160577,27,,,,,,,,17031040700,3440,166.8720643,27.29079133,0.937861249,1.436822595,946.84
17031051100,175508,33,,,,,,,,17031040800,1829,69.08707561,49.32682771,0.339563423,3.003930914,418.43
17031051200,182031,71,,,,,,,,17031040900,1842,57.1250779,16.09071747,0.539980339,1.001759646,604.84
17031051300,200179,108,,,,,,,,17031050100,2731,63.18303208,23.13760736,0.423873621,1.775572745,520.36
17031051400,162143,191,,,,,,,,17031050200,5431,105.9746871,24.04576428,0.391321573,1.803437147,721.52
17031060100,138333,109,,,,,,,,17031050300,2723,89.80224617,21.5977523,0.14625019,1.857170152,937.45
17031060200,152946,71,,,,,,,,17031050500,6069,189.3125953,16.06627679,0.555704473,1.349573763,1357.21
17031060300,172150,238,,,,,,,,17031050600,2177,53.21786306,65.67418777,0.375126675,4.257248621,469.4
17031060400,197679,445,,,,,,,,17031050700,1610,39.65033371,4.654604392,0.091176471,0.277941176,210.56
17031060500,171750,119,,,,,,,,17031050800,1457,36.2146582,6.015063339,0.199013158,0.398026316,207.87
