,GEOID,MedianIncome
1,17031010100,63138
2,17031010201,41125
3,17031010202,45236
4,17031010300,72917
5,17031010400,58438
6,17031010501,52747
7,17031010502,47222
8,17031010503,46964
9,17031010600,76838
10,17031010701,74038
11,17031010702,48989
12,17031020100,61300
13,17031020200,91402
14,17031020301,74338
15,17031020302,109202
16,17031020400,79773
17,17031020500,50927
18,17031020601,40352
19,17031020602,53152
20,17031020701,106691
21,17031020702,50466
22,17031020801,62757
23,17031020802,44697
24,17031020901,47644
25,17031020902,39728
26,17031030101,57627
27,17031030102,77500
28,17031030103,98083
29,17031030104,65625
30,17031030200,114474
31,17031030300,50750
32,17031030400,66731
33,17031030500,111466
34,17031030601,31722
35,17031030603,44022
36,17031030604,73009
37,17031030701,62857
38,17031030702,101250
39,17031030703,74479
40,17031030706,67893
41,17031030800,141652
42,17031030900,159800
43,17031031000,107629
44,17031031100,106941
45,17031031200,45547
46,17031031300,53750
47,17031031400,119167
48,17031031501,41417
49,17031031502,36473
50,17031031700,124625
51,17031031800,138750
52,17031031900,141600
53,17031032100,127901
54,17031040100,138889
55,17031040201,93750
56,17031040202,54868
57,17031040300,92656
58,17031040401,126845
59,17031040402,137000
60,17031040600,106375
61,17031040700,130281
62,17031040800,109688
63,17031040900,180278
64,17031050100,158750
65,17031050200,159821
66,17031050300,116806
67,17031050500,205417
68,17031050600,216477
69,17031050700,171429
70,17031050800,196250
71,17031050900,137083
72,17031051000,160577
73,17031051100,175508
74,17031051200,182031
75,17031051300,200179
76,17031051400,162143
77,17031060100,138333
78,17031060200,152946
79,17031060300,172150
80,17031060400,197679
81,17031060500,171750
82,17031060800,124417
83,17031060900,88770
84,17031061000,151875
85,17031061100,170893
86,17031061200,215455
87,17031061500,165729
88,17031061800,120438
89,17031061901,118313
90,17031061902,125950
91,17031062000,160133
92,17031062100,182969
93,17031062200,173250
94,17031062300,250000
95,17031062400,201250
96,17031062500,201964
97,17031062600,250000
98,17031062700,237500
99,17031062800,250000
100,17031062900,210089
101,17031063000,183438
102,17031063100,165278
103,17031063200,174402
104,17031063301,131971
105,17031063302,133618
106,17031063303,155179
107,17031063400,201949
108,17031070101,127076
109,17031070102,250000
110,17031070103,71473
111,17031070200,163182
112,17031070300,221023
113,17031070400,250000
114,17031070500,250000
115,17031070600,184196
116,17031070700,195724
117,17031071000,250000
118,17031071100,233947
119,17031071200,117188
120,17031071300,205515
121,17031071400,196053
122,17031071500,185179
123,17031071600,201875
124,17031071700,203438
125,17031071800,183125
126,17031080100,250000
127,17031080201,151856
128,17031080202,173220
129,17031080300,200771
130,17031080400,38824
131,17031081000,143750
132,17031081100,140982
133,17031081201,250000
134,17031081202,215813
135,17031081300,157708
136,17031081401,250000
137,17031081402,228750
138,17031081403,184697
139,17031081500,211600
140,17031081600,180208
141,17031081700,145526
142,17031081800,246467
143,17031081900,153125
144,17031090100,130250
145,17031090200,157083
146,17031090300,133750
147,17031100100,100639
148,17031100200,111138
149,17031100300,116406
150,17031100400,113553
151,17031100500,113080
152,17031100600,87061
153,17031100700,101806
154,17031110100,100392
155,17031110200,107267
156,17031110300,93517
157,17031110400,72437
158,17031110501,94836
159,17031110502,92868
160,17031120100,166719
161,17031120200,153472
162,17031120300,155640
163,17031120400,113359
164,17031130100,83875
165,17031130200,103125
166,17031130300,63571
167,17031140100,54129
168,17031140200,45969
169,17031140301,56250
170,17031140302,93141
171,17031140400,94344
172,17031140500,70875
173,17031140601,51053
174,17031140602,61875
175,17031140701,68000
176,17031140702,63219
177,17031140800,98056
178,17031150200,85284
179,17031150300,102725
180,17031150401,80337
181,17031150402,99345
182,17031150501,89250
183,17031150502,76576
184,17031150600,84507
185,17031150700,85714
186,17031150800,68320
187,17031151001,81042
188,17031151002,64741
189,17031151100,63125
190,17031151200,81410
191,17031160100,79643
192,17031160200,114453
193,17031160300,76222
194,17031160400,83598
195,17031160501,59000
196,17031160502,62607
197,17031160601,82723
198,17031160602,69594
199,17031160700,84713
200,17031160800,62584
201,17031160900,107031
202,17031161000,136750
203,17031161100,150357
204,17031161200,69896
205,17031161300,57661
206,17031170100,86146
207,17031170200,73075
208,17031170300,93281
209,17031170400,78167
210,17031170500,103542
211,17031170600,84620
212,17031170700,74141
213,17031170800,68611
214,17031170900,79000
215,17031171000,95865
216,17031171100,99293
217,17031180100,76250
218,17031190100,56597
219,17031190200,66313
220,17031190300,72593
221,17031190401,67000
