,GEOID,MedianIncome,Pickup
0,17031010201,41125,305
1,17031010202,45236,233
2,17031010300,72917,280
3,17031010400,58438,240
4,17031010501,52747,234
5,17031010502,47222,112
6,17031010503,46964,226
7,17031010600,76838,381
8,17031010701,74038,29
9,17031010702,48989,201
10,17031020100,61300,63
11,17031020200,91402,58
12,17031020301,74338,9
13,17031020302,109202,35
14,17031020400,79773,37
15,17031020500,50927,130
16,17031020601,40352,58
17,17031020602,53152,63
18,17031020701,106691,11
19,17031020702,50466,101
20,17031020801,62757,104
21,17031020802,44697,205
22,17031020901,47644,95
23,17031020902,39728,95
24,17031030101,57627,248
25,17031030102,77500,139
26,17031030103,98083,71
27,17031030104,65625,19
28,17031030200,114474,298
29,17031030300,50750,59
30,17031030400,66731,75
31,17031030500,111466,399
32,17031030601,31722,131
33,17031030603,44022,69
34,17031030604,73009,179
35,17031030701,62857,40
36,17031030702,101250,19
37,17031030703,74479,268
38,17031030706,67893,219
39,17031030800,141652,267
40,17031030900,159800,204
41,17031031000,107629,268
42,17031031100,106941,561
43,17031031200,45547,523
44,17031031300,53750,472
45,17031031400,119167,1047
46,17031031501,41417,219
47,17031031502,36473,433
48,17031031700,124625,721
49,17031031800,138750,74
50,17031031900,141600,112
51,17031032100,127901,1494
52,17031040100,138889,102
53,17031040201,93750,346
54,17031040202,54868,143
55,17031040300,92656,55
56,17031040401,126845,30
57,17031040402,137000,340
58,17031040600,106375,152
59,17031040700,130281,73
60,17031040800,109688,7
61,17031040900,180278,76
62,17031050100,158750,104
63,17031050200,159821,289
64,17031050300,116806,37
65,17031050500,205417,200
66,17031050600,216477,183
67,17031050700,171429,35
68,17031050800,196250,17
69,17031050900,137083,5
70,17031051000,160577,27
71,17031051100,175508,33
72,17031051200,182031,71
73,17031051300,200179,108
74,17031051400,162143,191
75,17031060100,138333,109
76,17031060200,152946,71
77,17031060300,172150,238
78,17031060400,197679,445
79,17031060500,171750,119
80,17031060800,124417,849
81,17031060900,88770,1511
82,17031061000,151875,617
83,17031061100,170893,296
84,17031061200,215455,231
85,17031061500,165729,303
86,17031061800,120438,173
87,17031061901,118313,703
88,17031061902,125950,707
89,17031062000,160133,942
90,17031062100,182969,1387
91,17031062200,173250,693
92,17031062300,250000,208
93,17031062400,201250,184
94,17031062500,201964,274
95,17031062600,250000,125
96,17031062700,237500,529
97,17031062800,250000,598
98,17031062900,210089,1074
99,17031063000,183438,1575
100,17031063100,165278,595
101,17031063200,174402,1517
102,17031063301,131971,433
103,17031063302,133618,1170
104,17031063303,155179,142
105,17031063400,201949,787
106,17031070101,127076,985
107,17031070102,250000,695
108,17031070103,71473,453
109,17031070200,163182,1503
110,17031070300,221023,1354
111,17031070400,250000,737
112,17031070500,250000,479
113,17031070600,184196,435
114,17031070700,195724,737
115,17031071000,250000,553
116,17031071100,233947,1062
117,17031071200,117188,947
118,17031071300,205515,818
119,17031071400,196053,1428
120,17031071500,185179,2484
121,17031071600,201875,99
122,17031071700,203438,83
123,17031071800,183125,300
124,17031080100,250000,1483
125,17031080201,151856,638
126,17031080202,173220,1451
127,17031080300,200771,2877
128,17031080400,38824,1079
129,17031081000,143750,2829
130,17031081100,140982,1642
131,17031081201,250000,2942
132,17031081202,215813,768
133,17031081300,157708,2141
134,17031081401,250000,3594
135,17031081402,228750,1912
136,17031081403,184697,4143
137,17031081500,211600,4526
138,17031081600,180208,2409
139,17031081700,145526,5220
