,GEOID,D4A
0,170318134001,276.27
1,170318205022,441.23
2,170316720003,156.91
3,170315608003,319.19
4,171118706042,1105.08
5,170978621001,162.28
6,170978621004,0.0
7,171118706061,0.0
22,170978627004,158.25
23,170978636042,1021.93
24,170978637012,693.36
27,170978649031,704.09
28,170978649032,1133.25
31,170978645202,984.38
36,170318196003,120.7
37,170318196004,0.0
38,170318197003,712.13
43,170318047053,749.69
45,170318047062,651.78
47,170318059011,422.45
48,170318059013,0.0
49,170318059021,379.54
50,170318059022,582.05
51,170318059023,772.49
52,170318059024,163.62
53,170318086001,854.29
54,170318086002,120.7
55,170318088001,100.58
56,170318088002,77.78
57,170318129002,536.45
58,170318129003,155.57
59,170318129004,451.96
60,170318130001,327.23
61,170318130002,167.64
62,170318130003,392.95
63,170318131001,336.62
64,170318131003,229.33
65,170318131004,256.15
66,170318164013,245.42
67,170318164021,270.91
68,170318164022,289.68
69,170318164023,388.92
70,170318164024,162.28
71,170318165001,721.52
72,170318164012,118.02
73,170318197004,966.95
74,170318197001,654.47
76,170318198012,1040.71
77,170318198013,726.89
78,170318198014,307.12
86,170318047134,696.04
87,170318047091,1031.32
88,170318059025,610.21
89,170318059026,419.77
90,170318060011,776.51
91,170318060013,502.92
92,170318060023,647.76
93,170318060024,427.82
94,170318089001,274.93
95,170318089002,325.89
96,170318089003,270.91
97,170318090001,510.97
98,170318090002,567.29
99,170318090003,675.92
100,170318090004,418.43
101,170318091001,406.36
102,170318091002,662.51
103,170318132002,230.67
104,170318132003,352.71
105,170318132004,418.43
106,170318132005,490.85
107,170318131005,285.66
108,170318132001,175.69
109,170318166003,84.49
110,170318134002,662.51
111,170318165002,343.33
112,170318165003,308.46
113,170318166001,320.53
114,170318166002,458.66
116,170318167001,457.32
119,170318200001,1109.11
122,170318036112,987.06
126,170318092004,173.0
129,170318060031,203.85
130,170318060032,299.07
131,170318060034,781.87
132,170318060035,333.94
133,170318060036,396.97
134,170318060042,107.29
135,170318091003,578.02
136,170318092001,175.69
137,170318092002,368.81
138,170318134006,329.92
139,170318093001,510.97
140,170318093003,378.2
141,170318094001,425.14
142,170318094002,0.0
143,170318134003,486.83
144,170318135005,344.67
145,170318135001,0.0
146,170318135002,0.0
147,170318135003,282.98
148,170318136001,532.42
149,170318136002,567.29
150,170311606011,266.88
151,170318136003,223.97
152,170318168002,291.02
153,170318168003,639.71
154,170318168004,1011.2
155,170318169001,301.75
156,170318169003,292.36
157,170318169004,600.82
163,170318037011,508.28
164,170318037021,948.17
166,170318037023,1178.84
168,170311503007,276.27
170,170312306002,190.44
171,170311302001,473.42
172,170318005004,375.51
173,170318018001,761.76
174,170314309001,409.04
175,170318368002,229.33
176,170318369002,99.24
177,171978809031,498.9
179,171978805023,468.05
181,170313301004,261.52
182,170313301001,48.28
183,170313301002,0.0
184,170314306001,162.28
185,170314306002,418.43
187,171978818004,250.79
188,171978838101,622.28
189,171978819003,325.89
192,171978828021,687.99
193,170314308001,422.45
194,170314308002,152.89
195,170318342001,226.65
196,170318342003,202.51
197,170315103004,87.17
198,170315102001,553.88
199,170315102002,304.43
200,170315103001,300.41
201,170315906001,296.39
202,170318404002,219.94
203,171978803072,895.87
204,170318403002,308.46
205,170318403003,287.0
206,170318403001,158.25
207,170312714001,92.54
208,170312715001,206.53
209,170318373002,210.56
211,171978806011,690.68
213,170318411001,396.97
214,170318411004,274.93
215,170318411002,292.36
216,170314313022,167.64
217,170314313012,446.59
218,170314313013,230.67
220,171978813021,340.64
226,170314314002,182.39
227,170314314003,146.18
228,170315103003,194.46
229,170315202001,186.42
230,170315905001,226.65
231,170315906003,236.04
232,170318401001,123.38
233,170316004001,166.3
234,170313403001,356.74
235,170316004002,209.21
236,170316004003,292.36
250,171978816041,1027.3
251,171978816032,344.67
253,170312801002,119.36
254,170313018032,205.19
255,170314402022,282.98
256,170313405001,257.5
257,170318392002,324.55
258,170314401011,276.27
259,170314401023,214.58
260,170314401014,214.58
261,170314402023,256.15
262,171978803081,1031.32
264,171978801094,305.78
268,170315202002,273.59
270,171978832111,455.98
271,170314402012,304.43
272,170314403003,407.7
273,170314403004,421.11
274,170314403005,218.6
275,170314403001,170.32
276,170315203001,280.29
277,170315204002,72.42
278,170315203002,65.71
279,170315203003,285.66
280,170315204001,262.86
281,170315204004,240.06
282,170315205003,574.0
284,170315205001,240.06
285,170316006001,384.9
286,170316007001,285.66
287,170318397003,282.98
288,170318397001,358.08
290,171979801001,547.18
294,171978804122,961.58
299,171978826021,261.52
301,170315302001,336.62
302,170318305001,254.81
303,170318305002,134.11
304,170318420002,162.28
305,170313510001,124.72
306,170313510003,265.54
308,170318396001,87.17
309,170318424001,245.42
310,170318424002,438.55
311,170318424003,197.14
312,170314406001,241.4
313,170314406002,303.09
314,170314407001,227.99
315,170314407002,214.58
316,170314408001,178.37
317,170318399003,198.49
319,171978811081,1097.04
320,170315302002,202.51
321,170315302003,127.41
322,170316009001,282.98
323,170316009003,274.93
324,170318398002,170.32
325,170318400001,268.22
326,170318399001,168.98
327,170318399004,209.21
328,170313602001,146.18
329,170318399005,146.18
330,170318400002,289.68
335,171978802032,1036.69
337,171978801074,433.18
338,171978801152,378.2
345,170312808001,126.07
346,170312809001,252.13
347,170318343003,265.54
348,170318364001,256.15
353,171978806022,633.01
354,171978807012,651.78
355,170318364002,272.25
356,170314408002,174.35
357,170314409001,276.27
358,170314409002,305.78
359,170314409003,663.85
360,170318343004,285.66
361,170318343005,563.27
362,170315303003,300.41
363,170318343001,533.77
364,170315303001,468.05
365,170315303002,229.33
366,170316103002,469.39
367,170315303004,227.99
368,170315304001,494.87
369,170315304002,696.04
370,170318426002,382.22
371,170316103001,496.21
372,170312518001,177.03
373,170316104001,257.5
374,170312518004,170.32
375,170312518005,343.33
376,170318143001,72.42
377,170312518002,240.06
378,170312520001,227.99
379,170312520002,240.06
380,170312520003,246.77
381,170312520004,191.78
382,171978803083,439.89
393,171978813022,291.02
394,171978807022,477.44
397,171978814013,446.59
399,170318140002,173.0
400,170318140003,57.67
401,170318140004,187.76
402,170318141001,390.27
403,170318141002,76.44
404,170318141003,270.91
405,170318142001,163.62
406,170318171021,266.88
407,170318171022,441.23
408,170318171023,578.02
409,170318172001,144.84
410,170318172002,71.08
411,170318172004,109.97
412,170318173001,708.11
413,170318174001,206.53
414,170318201044,608.87
426,170310306041,140.82
427,170310801007,152.89
428,170311408001,323.21
429,170312522011,130.09
430,170318050021,360.76
431,170318050023,891.84
432,170318050024,419.77
433,170318064001,316.5
434,170318064002,272.25
435,170318065011,297.73
436,170318065012,543.15
437,170318065021,317.85
438,170318065023,488.17
439,170318065024,177.03
440,170318103011,390.27
441,170318103012,422.45
442,170318103013,73.76
443,170318103014,341.99
444,170318103021,422.45
445,170318103023,0.0
446,170318104001,474.76
447,170318104002,796.63
448,170318142002,321.87
449,170318142005,315.16
450,170318142006,520.35
451,170318174002,0.0
452,170318144001,108.63
453,170318144002,307.12
454,170318175001,199.83
455,170898536002,434.52
457,170898532002,460.0
458,170898511012,441.23
459,170318175002,230.67
460,170318175003,178.37
461,170318175004,148.86
462,170318176002,256.15
463,170316304004,229.33
464,170318024023,226.65
465,170318024024,429.16
466,170318025033,792.6
467,170318025034,348.69
473,170312609002,207.87
474,170312608002,158.25
475,170312609001,468.05
476,170314008002,171.66
477,170312610002,201.17
486,170312912002,123.38
487,170318431001,147.52
489,171978814022,454.64
490,171978814023,535.11
491,171978814011,0.0
492,171978806023,364.78
493,171978813012,344.67
495,170318433001,253.47
496,170318387004,227.99
497,170318431002,166.3
498,170314008001,233.35
499,170318363001,171.66
500,170314105001,292.36
501,170314108001,341.99
502,170314105002,130.09
503,170314106002,226.65
504,170314107001,331.26
505,170314108002,103.27
506,170314903001,237.38
507,170318080023,618.26
508,170318055012,245.42
509,170318080011,118.02
510,170318080012,257.5
511,170318080013,535.11
512,170318080022,524.38
513,170318190003,777.85
514,170318080024,30.85
515,170318119004,587.41
516,170318120001,364.78
517,170318120003,575.34
518,170318120004,494.87
519,170318120005,372.83
520,170318120006,81.81
521,170318121001,240.06
522,170318121002,201.17
523,170318157014,272.25
524,170318157021,873.07
525,170318157022,764.44
526,170318157023,525.72
527,170318157024,615.57
528,170318188005,0.0
529,170318188006,572.66
530,170318189001,0.0
531,170318189002,363.44
532,170318189003,435.86
533,170318192003,167.64
534,170318191001,926.71
538,170318030132,709.45
542,170318055013,431.84
543,170318055021,784.56
