,Unnamed: 0,GEOID,MedianIncome,Pickup,TotalPopulation,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit
0,0,17031010201,41125,1837.0,7039,59.11902152,1.490412114,0.019723847,0.069242166,234.25
1,1,17031010202,45236,1375.0,2852,36.27858993,8.568341424,0.027316716,0.724294515,193.795
2,2,17031010300,72917,1627.0,6650,58.47092195,9.582294777,0.106672772,0.346823146,184.4025
3,3,17031010400,58438,1204.0,5153,64.71147721,29.07188535,0.023678838,2.464811604,152.44
4,4,17031010501,52747,1310.0,4147,84.88869466,3.081571441,0.032107879,0.066410634,113.1
5,5,17031010502,47222,609.0,2802,62.99815961,4.371993689,0.060484845,0.146626984,194.465
6,6,17031010503,46964,702.0,1713,34.51160823,6.498067101,0.078551312,0.394288656,254.14
7,7,17031010600,76838,1943.0,6271,50.2986067,8.192291819,0.117415719,0.679053444,261.5175
8,8,17031010701,74038,239.0,3766,35.98747511,1.292684252,0.006987578,0.096019345,293.035
9,9,17031010702,48989,1073.0,5096,56.33900525,14.12556675,0.036237405,0.608951659,175.35
10,10,17031020100,61300,402.0,3836,37.1540376,26.17123561,0.478990817,1.688829841,342.655
11,11,17031020200,91402,434.0,6739,24.98394199,3.769940752,0.22732417,0.449563912,303.43
12,12,17031020301,74338,42.0,5472,28.82764832,4.017552795,0.432359565,0.342554023,285.21
13,13,17031020302,109202,205.0,5348,38.28278988,4.496393435,0.335054708,0.38508112,115.3366667
14,14,17031020400,79773,183.0,4236,30.44552096,1.236866823,0.322448326,0.13213807,222.18
15,15,17031020500,50927,1065.0,6584,63.81052364,5.480845143,0.448111316,0.256443129,318.8525
16,16,17031020601,40352,238.0,6131,40.45084375,3.483833141,0.475833334,0.269308313,162.72
17,17,17031020602,53152,291.0,4734,38.94354002,13.12222328,0.484567115,1.046236983,248.7775
18,18,17031020701,106691,88.0,1748,16.96626449,6.1555752,0.414533568,1.277737752,226.65
19,19,17031020702,50466,589.0,7674,44.78167225,4.282181741,0.209167048,0.332553719,272.245
20,20,17031020801,62757,629.0,6112,37.71783898,5.238131281,0.342063081,0.413645339,211.2275
21,21,17031020802,44697,1110.0,7952,51.22241851,10.90605111,0.164371451,0.686493827,233.6925
22,22,17031020901,47644,635.0,5966,49.54829611,2.658853797,0.03920921,0.135107044,356.74
23,23,17031020902,39728,610.0,4680,46.65545777,10.71564948,0.16130331,0.873652375,327.905
24,24,17031030101,57627,1417.0,3768,138.4152646,12.66782379,0.167625217,0.199036006,207.8725
25,25,17031030102,77500,828.0,2703,139.2958227,16.50143174,0.111295693,0.285704026,239.6133333
26,26,17031030103,98083,246.0,2252,116.5826305,18.94608964,0.167483334,0.362158658,185.745
27,27,17031030104,65625,75.0,3569,163.4634392,2.019577379,0.219689584,0.061403509,193.12
28,28,17031030200,114474,1419.0,5444,33.05715813,4.555274543,0.215816084,0.287489235,280.6275
29,29,17031030300,50750,291.0,3464,44.619648,2.272250738,0.026251167,0.12112731,277.615
30,30,17031030400,66731,338.0,2582,30.01532075,4.89598724,0.091561916,0.374319378,246.095
31,31,17031030500,111466,2342.0,6428,43.55196063,4.175721554,0.089186058,0.208313116,191.1125
32,32,17031030601,31722,931.0,3956,167.4207848,10.29471361,0.126617037,0.092181269,230.6733333
33,33,17031030603,44022,527.0,2258,78.78574099,6.627585134,0.208423151,0.143585258,278.28
34,34,17031030604,73009,892.0,3344,142.1221174,4.425048307,0.247650462,0.047510465,217.2633333
