Unnamed: 0,GEOID,Pickup,MedianIncome,Median Age,Population_Density, Employment_Density,Percent_Zero_Car_Ownership,LandUse_Diversity,Distance_from_transit, Trip miles,Trip seconds
0,17031010201,1837,41125,36.5,59.11902152,1.490412114,0.019723847,0.069242166,234.25,7.066058394,1140.319343
1,17031010202,1375,45236,35.8,36.27858993,8.568341424,0.027316716,0.724294515,193.795,4.479470199,839.7395143
2,17031010300,1627,72917,48.2,58.47092195,9.582294777,0.106672772,0.346823146,184.4025,6.9703125,1110.724609
3,17031010400,1204,58438,25.9,64.71147721,29.07188535,0.023678838,2.464811604,152.44,7.231958763,1186.39433
4,17031010501,1310,52747,33.8,84.88869466,3.081571441,0.032107879,0.066410634,113.1,7.558985201,1165.097252
5,17031010502,609,47222,31.4,62.99815961,4.371993689,0.060484845,0.146626984,194.465,6.881481481,1100.608466
6,17031010503,702,46964,27.9,34.51160823,6.498067101,0.078551312,0.394288656,254.14,7.30802139,1129.299465
7,17031010600,1943,76838,35.4,50.2986067,8.192291819,0.117415719,0.679053444,261.5175,6.564969136,1092.217593
8,17031010701,239,74038,39.6,35.98747511,1.292684252,0.006987578,0.096019345,293.035,4.484810127,880.5063291
9,17031010702,1073,48989,28.5,56.33900525,14.12556675,0.036237405,0.608951659,175.35,5.8762665,982.304406
10,17031020100,402,61300,37.6,37.1540376,26.17123561,0.478990817,1.688829841,342.655,5.608208955,979.8358209
11,17031020200,434,91402,35.1,24.98394199,3.769940752,0.22732417,0.449563912,303.43,6.31292517,1071.068027
12,17031020301,42,74338,37.1,28.82764832,4.017552795,0.432359565,0.342554023,285.21,12.7,1813.230769
13,17031020302,205,109202,38.2,38.28278988,4.496393435,0.335054708,0.38508112,115.3366667,7.21969697,1071.287879
14,17031020400,183,79773,39.5,30.44552096,1.236866823,0.322448326,0.13213807,222.18,5.046268657,905.2089552
15,17031020500,1065,50927,34.9,63.81052364,5.480845143,0.448111316,0.256443129,318.8525,6.842857143,1123.440476
16,17031020601,238,40352,32.7,40.45084375,3.483833141,0.475833334,0.269308313,162.72,6.605376344,1060.462366
17,17031020602,291,53152,34.9,38.94354002,13.12222328,0.484567115,1.046236983,248.7775,5.667557574,991.7829351
18,17031020701,88,106691,44.2,16.96626449,6.1555752,0.414533568,1.277737752,226.65,7.566666667,1130.055556
19,17031020702,589,50466,30.5,44.78167225,4.282181741,0.209167048,0.332553719,272.245,7.135078534,1122.575916
20,17031020801,629,62757,38.9,37.71783898,5.238131281,0.342063081,0.413645339,211.2275,6.189497717,1077.109589
21,17031020802,1110,44697,34.3,51.22241851,10.90605111,0.164371451,0.686493827,233.6925,6.216939891,1051.34153
22,17031020901,635,47644,34.9,49.54829611,2.658853797,0.03920921,0.135107044,356.74,7.13626943,1145.994819
23,17031020902,610,39728,41.4,46.65545777,10.71564948,0.16130331,0.873652375,327.905,5.342631579,937.2842105
24,17031030101,1417,57627,38.1,138.4152646,12.66782379,0.167625217,0.199036006,207.8725,6.477753304,988.5859031
25,17031030102,828,77500,44.4,139.2958227,16.50143174,0.111295693,0.285704026,239.6133333,6.693534483,1020.564655
26,17031030103,246,98083,25.5,116.5826305,18.94608964,0.167483334,0.362158658,185.745,6.450746269,989.0298507
27,17031030104,75,65625,21.7,163.4634392,2.019577379,0.219689584,0.061403509,193.12,6.36,798.1
28,17031030200,1419,114474,35.2,33.05715813,4.555274543,0.215816084,0.287489235,280.6275,5.963414634,979.8603104
29,17031030300,291,50750,33.8,44.619648,2.272250738,0.026251167,0.12112731,277.615,5.473809524,939.7142857
30,17031030400,338,66731,41.7,30.01532075,4.89598724,0.091561916,0.374319378,246.095,5.107079646,902.9646018
31,17031030500,2342,111466,35.9,43.55196063,4.175721554,0.089186058,0.208313116,191.1125,5.75912471,914.9506584
32,17031030601,931,31722,34.6,167.4207848,10.29471361,0.126617037,0.092181269,230.6733333,7.347632312,1045.532033
33,17031030603,527,44022,33.2,78.78574099,6.627585134,0.208423151,0.143585258,278.28,6.290285714,975.8114286
34,17031030604,892,73009,41.8,142.1221174,4.425048307,0.247650462,0.047510465,217.2633333,5.981939799,863.6254181
35,17031030701,340,62857,36.3,99.14950458,27.39352551,0.32906191,0.524972253,285.66,6.090909091,948.6818182
36,17031030702,79,101250,48.4,407.5841892,62.8418455,0.528550707,0.2809905,67.725,5.576923077,819.5384615
37,17031030703,1432,74479,42.8,88.29890309,8.396468167,0.401739459,0.312442258,197.1433333,5.889537713,915.8905109
38,17031030706,1465,67893,48.3,76.69473091,8.348972923,0.51616267,0.256642798,77.115,5.341787942,798.2931393
39,17031030800,1881,141652,40.8,31.49384866,6.018998202,0.251225868,0.431346972,309.13,4.452700186,822.0037244
40,17031030900,1402,159800,37.2,30.26832948,9.285022978,0.296093032,0.852763121,215.9225,4.713381995,824.2579075
41,17031031000,1461,107629,37,39.17467868,12.4467201,0.194277943,0.657463109,310.2466667,5.351826484,941.5273973
42,17031031100,3324,106941,38.7,41.207216,9.286132263,0.285355107,0.511037224,343.3266667,5.338828203,906.041708
43,17031031200,2624,45547,39.5,76.00483156,14.04429216,0.423757032,0.439292206,195.1325,5.858302583,926.297663
44,17031031300,3132,53750,48.2,112.22158,14.56990389,0.54273816,0.305508504,161.202,6.153958944,923.9579668
45,17031031400,7422,119167,37.2,52.53296245,10.82631754,0.506641826,0.147214565,169.4266667,5.324877615,816.2109479
46,17031031501,1079,41417,35.7,118.542499,15.72528124,0.493895671,0.240193277,223.0733333,5.431845238,858.6696429
47,17031031502,2622,36473,31.9,126.38042,7.561272271,0.413254486,0.114993045,169.4266667,5.097894737,833.8236842
48,17031031700,3863,124625,32.6,56.41243247,5.684831499,0.566830175,0.202230179,311.81,5.676565144,945.6226734
49,17031031800,430,138750,33.9,34.68875389,16.98011701,0.527582707,0.940993789,238.72,4.368939394,842.5909091
50,17031031900,515,141600,32.2,40.31419419,9.461807619,0.2421851,0.47778907,258.165,5.397478992,914.7310924
51,17031032100,7438,127901,35.4,85.29584106,14.33316251,0.182961991,0.691528742,107.02,5.220831529,859.7934171
52,17031040100,556,138889,35.7,24.22087205,3.054597307,0.203269435,0.738557933,292.81,5.616201117,1029.106145
53,17031040201,1906,93750,35.3,40.26042996,17.37541016,0.338348059,1.312933421,239.3875,6.141594454,1141.590988
54,17031040202,1177,54868,35.2,47.51968345,3.337862197,0.400291009,0.17037229,248.7775,5.955135135,1053.264865
55,17031040300,146,92656,42.3,20.33842376,3.255895669,0.451325587,0.523086296,315.16,4.892105263,983.7631579
56,17031040401,185,126845,36.1,35.76372098,3.075906444,0.261909042,0.265976596,241.7375,5.081537961,972.5736394
57,17031040402,1755,137000,31.9,40.40413275,5.402447777,0.479571911,0.211248941,147.522,5.667362429,1007.97723
58,17031040600,740,106375,35.5,30.25470758,10.38290793,0.526267819,0.729693553,307.1166667,5.727225131,1034.685864
59,17031040700,351,130281,37.7,41.71801608,6.822697832,0.402401585,0.359205649,236.71,4.870588235,1027.541176
60,17031040800,27,109688,39.8,34.54353781,24.66341385,0.284679089,1.501965457,209.215,1.7,510.6666667
61,17031040900,336,180278,38.5,28.56253895,8.045358731,0.303019375,0.500879823,302.42,5.114444444,962.7555556
62,17031050100,496,158750,33.4,31.59151604,11.56880368,0.4502656,0.887786373,260.18,4.784827586,937.2551724
63,17031050200,1706,159821,41.1,35.32489571,8.015254762,0.124767993,0.601145716,240.5066667,4.800636943,907.7388535
64,17031050300,186,116806,39.4,29.93408206,7.199250765,0.18767723,0.619056717,312.4833333,5.59122807,1053.140351
65,17031050500,805,205417,34.2,37.86251906,3.213255359,0.233311417,0.269914753,271.442,4.98518591,936.7480979
66,17031050600,956,216477,33.8,26.60893153,32.83709388,0.028947962,2.128624311,234.7,4.153781513,859.2983193
67,17031050700,96,171429,30.9,39.65033371,4.654604392,0.160712675,0.277941176,210.56,4.840909091,897.1363636
68,17031050800,125,196250,31.5,36.2146582,6.015063339,0.161058048,0.398026316,207.87,5.522222222,997.9444444
69,17031050900,53,137083,34.9,32.38072941,2.213429276,0.193536268,0.164814815,209.21,4.430769231,923
70,17031051000,157,160577,33.4,41.72358163,5.75581423,0.234465312,0.331932773,221.28,4.547619048,855.3095238
71,17031051100,304,175508,33.6,41.88582441,7.394595361,0.169781712,0.482644628,210.56,4.141891892,778.9054054
72,17031051200,265,182031,31.8,39.18121375,8.677234916,0.26999017,0.620869507,223.965,4.15,762.2941176
73,17031051300,488,200179,35.3,35.64832455,4.529568351,0.211936811,0.304755545,224.635,4.745962733,817.0931677
74,17031051400,782,162143,31,25.50222662,4.211780438,0.130440525,0.370716075,233.355,4.478111588,839.2703863
75,17031060100,501,138333,32.9,35.36093513,5.31734706,0.048750064,0.343455423,258.8366667,5.008270677,868.518797
76,17031060200,384,152946,33.5,29.62809517,25.06562485,0.111140894,2.24450976,262.19,5.207317073,1002.146341
77,17031060300,1034,172150,34,40.75895164,7.470730992,0.187563338,0.439901891,217.26,4.3609375,824.2070313
78,17031060400,2341,197679,32.1,46.29918089,10.94638723,0.091176471,0.614986373,219.9433333,4.65,859.2880435
79,17031060500,557,171750,38.6,23.5868332,4.608084016,0.199013158,0.335543767,142.16,4.321153846,806.6217949
80,17031060800,4655,124417,36.6,109.7627103,11.64061876,0.087037037,0.126332873,294.15,5.119710544,829.5926947
81,17031060900,8538,88770,36.7,122.934826,8.71029233,0.102240896,0.137856332,228.794,4.718445122,825.6227134
82,17031061000,3258,151875,30.3,51.70646982,15.03421813,0.150413223,0.597765363,246.77,4.63960047,817.3772033
83,17031061100,2060,170893,27.3,44.7772338,54.06388272,0.069898058,2.765780731,146.18,4.74135514,825.7616822
84,17031061200,1097,215455,28.1,45.43458107,6.78854271,0.034003021,0.375160051,221.28,5.14556962,916.4725738
85,17031061500,1130,165729,30,47.43656619,13.94454144,0.143721352,0.686881188,223.97,4.127888446,805.1673307
86,17031061800,942,120438,30.4,65.51856016,10.36562295,0.135621584,0.304160689,100.58,3.997288136,735
87,17031061901,3358,118313,35.2,91.41423659,9.412879257,0.324069931,0.16650984,270.5725,5.084968685,846.9164927
88,17031061902,4515,125950,36,128.7593708,7.120154809,0.107826921,0.0542028,123.3825,4.928259231,829.7317257
89,17031062000,5016,160133,27.4,51.86813695,13.66119766,0.14771422,0.484862901,283.645,4.556449376,807.887656
90,17031062100,7091,182969,27.9,68.78697501,21.99766062,0.50530504,0.721531686,231.5666667,4.715299446,844.2219426
91,17031062200,3457,173250,29.3,45.37000392,8.21296653,0.195287428,0.41381393,398.98,4.830729361,860.1521654
92,17031062300,609,250000,30.5,39.6985211,10.03614298,0.414468216,0.580229226,341.99,4.456944444,877.0833333
93,17031062400,1041,201250,33.5,39.14410948,11.20177245,0.32122905,0.626388889,244.08,4.146530612,808.6408163
94,17031062500,1254,201964,31.9,39.58893733,28.83080071,0.280730897,1.610955056,202.51,3.855591054,842.3482428
95,17031062600,808,250000,32.5,30.03313248,11.82316988,0.308578745,0.959876543,281.64,4.158173077,853.1105769
96,17031062700,2046,237500,32.4,35.6676032,18.21129544,0.193069307,1.375487014,288.7866667,3.805802708,774.5048356
97,17031062800,3059,250000,30.9,45.21099007,11.11791094,0.464849354,0.635571873,301.75,3.986945813,791.591133
98,17031062900,4726,210089,29.1,47.78111194,8.408535055,0.511945424,0.356395241,339.75,4.21286645,799.1636808
99,17031063000,7307,183438,28.6,46.54912001,42.05270775,0.327374094,2.15329803,203.85,4.263013699,837.3722248
100,17031063100,3041,165278,29.3,59.96616433,35.4101734,0.434363209,1.10316708,217.93,4.598942918,836.730444
101,17031063200,8128,174402,33.5,118.3342188,10.26091488,0.40783158,0.158025488,157.5816667,4.94092437,823.5205882
102,17031063301,1911,131971,31.6,120.9670638,15.9755645,0.157510655,0.213553711,191.3333333,4.84665392,885.6615679
103,17031063302,5734,133618,30.5,127.2088568,10.88335803,0.23495702,0.149227464,201.8375,4.81932398,833.7410714
104,17031063303,1261,155179,66.7,80.22060248,35.0937198,0.156944444,0.729039132,127.405,4.432098765,796.617284
105,17031063400,3856,201949,27.5,62.2453446,22.49830309,0.158707865,0.824250986,155.57,4.407941176,844.6666667
106,17031070101,6587,127076,32.2,140.7509474,14.46223786,0.106995885,0.262695604,281.19,4.471089536,794.2669903
107,17031070102,3668,250000,31.1,110.7743143,29.67150148,0.14534924,0.469452415,208.7666667,4.688369678,863.5576324
108,17031070103,1865,71473,27.4,95.06818719,17.1649046,0.194329133,0.243371265,205.865,4.064380531,764.8915929
109,17031070200,7652,163182,29.5,52.09040649,29.6654365,0.262849023,1.189873055,297.28,4.189258555,804.0622624
110,17031070300,6872,221023,28.8,44.37624566,15.503816,0.381920957,0.758715246,223.295,3.90264938,767.8105975
111,17031070400,2969,250000,33.7,41.57758239,14.29586603,0.420000774,0.635385563,327.68,4.28817734,817.9376026
112,17031070500,2456,250000,34,46.44241172,22.01250367,0.434534509,1.234578728,286.1066667,3.683606557,731.6704918
113,17031070600,2551,184196,31.5,39.81584462,6.505812679,0.59140753,0.411902115,328.57,4.352380952,811.1740558
114,17031070700,3559,195724,31.8,27.22915462,11.09514142,0.514776644,1.297684062,315.165,4.242433234,838.785361
115,17031071000,2667,250000,21.3,61.37460006,6.508874158,0.490650159,0.761583012,180.38,3.768221071,736.2210708
116,17031071100,6118,233947,24.8,41.32050258,26.03676185,0.381786773,1.862049842,173.675,4.86667972,839.4773706
117,17031071200,5485,117188,29.6,30.71823343,20.78726843,0.452865883,1.471336521,180.38,3.808496732,765.939724
