GEO_ID,NAME,S1903_C03_015E
id,Geographic Area Name,Estimate!!Median income (dollars)!!FAMILIES!!Families
1400000US17031010100,"Census Tract 101, Cook County, Illinois",63138
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",41125
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",45236
1400000US17031010300,"Census Tract 103, Cook County, Illinois",72917
1400000US17031010400,"Census Tract 104, Cook County, Illinois",58438
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",52747
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",47222
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",46964
1400000US17031010600,"Census Tract 106, Cook County, Illinois",76838
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",74038
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",48989
1400000US17031020100,"Census Tract 201, Cook County, Illinois",61300
1400000US17031020200,"Census Tract 202, Cook County, Illinois",91402
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",74338
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",109202
1400000US17031020400,"Census Tract 204, Cook County, Illinois",79773
1400000US17031020500,"Census Tract 205, Cook County, Illinois",50927
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",40352
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",53152
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",106691
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",50466
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",62757
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",44697
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",47644
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",39728
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",57627
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",77500
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",98083
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",65625
1400000US17031030200,"Census Tract 302, Cook County, Illinois",114474
1400000US17031030300,"Census Tract 303, Cook County, Illinois",50750
1400000US17031030400,"Census Tract 304, Cook County, Illinois",66731
1400000US17031030500,"Census Tract 305, Cook County, Illinois",111466
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",31722
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",44022
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",73009
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",62857
