,GEOID,Pickup
0,17031980000.0,9661
1,17031839100.0,9490
2,17031320100.0,6997
3,17031081800.0,6054
4,17031833000.0,5392
5,17031330100.0,5332
6,17031081700.0,5220
7,17031081500.0,4526
8,17031280100.0,4366
9,17031081403.0,4143
10,17031081401.0,3594
11,17031281900.0,3344
12,17031833100.0,3078
13,17031839000.0,3005
14,17031081201.0,2942
15,17031980100.0,2899
16,17031080300.0,2877
17,17031081000.0,2829
18,17031842200.0,2738
19,17031320600.0,2562
20,17031071500.0,2484
21,17031081600.0,2409
22,17031841900.0,2304
23,17031081300.0,2141
24,17031842300.0,2076
25,17031320400.0,2061
26,17031241400.0,2007
27,17031243500.0,1954
28,17031081402.0,1912
29,17031832600.0,1901
30,17031838200.0,1776
31,17031081100.0,1642
32,17031063000.0,1575
33,17031063200.0,1517
34,17031060900.0,1511
35,17031070200.0,1503
36,17031032100.0,1494
37,17031080100.0,1483
38,17031080202.0,1451
39,17031071400.0,1428
40,17031241500.0,1416
41,17031062100.0,1387
42,17031070300.0,1354
43,17031063302.0,1170
44,17031242100.0,1170
45,17031080400.0,1079
46,17031062900.0,1074
47,17031830900.0,1071
48,17031071100.0,1062
49,17031836200.0,1056
50,17031031400.0,1047
51,17031242000.0,1034
52,17031070101.0,985
53,17031071200.0,947
54,17031062000.0,942
55,17031241600.0,924
56,17031830700.0,912
57,17031838300.0,909
58,17031832500.0,899
59,17031838100.0,894
60,17031060800.0,849
61,17031071300.0,818
62,17031063400.0,787
63,17031242200.0,775
64,17031081202.0,768
65,17031832000.0,764
66,17031070700.0,737
67,17031070400.0,737
68,17031031700.0,721
69,17031310600.0,711
70,17031061902.0,707
71,17031061901.0,703
72,17031070102.0,695
73,17031062200.0,693
74,17031220602.0,690
75,17031243400.0,671
76,17031831100.0,646
77,17031080201.0,638
78,17031842900.0,626
79,17031832300.0,624
80,17031061000.0,617
81,17031832100.0,606
82,17031842400.0,601
83,17031062800.0,598
84,17031770700.0,598
85,17031063100.0,595
86,17031242600.0,583
87,17031221400.0,569
88,17031031100.0,561
89,17031071000.0,553
90,17031243300.0,549
91,17031410800.0,547
92,17031062700.0,529
93,17031031200.0,523
94,17031351000.0,481
95,17031070500.0,479
96,17031031300.0,472
97,17031843700.0,469
98,17031070103.0,453
99,17031240500.0,451
100,17031060400.0,445
101,17031241100.0,436
102,17031242300.0,436
103,17031070600.0,435
104,17031031502.0,433
105,17031063301.0,433
106,17031841100.0,427
107,17031221300.0,420
108,17031832200.0,418
109,17031831900.0,416
110,17031030500.0,399
111,17031837800.0,398
112,17031243200.0,386
113,17031010600.0,381
114,17031832400.0,379
115,17031330200.0,378
116,17031831000.0,371
117,17031841000.0,363
118,17031242400.0,360
119,17031843200.0,359
120,17031839200.0,356
121,17031222200.0,356
122,17031210100.0,356
123,17031390700.0,352
124,17031431400.0,347
125,17031040201.0,346
126,17031040402.0,340
127,17031252102.0,335
128,17031440201.0,328
129,17031834200.0,328
130,17031411000.0,327
131,17031220500.0,321
132,17031510300.0,310
133,17031410700.0,307
134,17031010201.0,305
135,17031061500.0,303
136,17031071800.0,300
137,17031843600.0,298
138,17031030200.0,298
139,17031680900.0,297
140,17031061100.0,296
141,17031431302.0,296
142,17031830600.0,295
143,17031410100.0,294
144,17031820901.0,293
145,17031243100.0,292
146,17031242500.0,291
147,17031833300.0,290
148,17031050200.0,289
149,17031835900.0,285
150,17031221100.0,285
151,17031230600.0,282
152,17031500200.0,281
153,17031010300.0,280
154,17031251900.0,278
155,17031430101.0,274
156,17031062500.0,274
157,17031310800.0,273
158,17031440101.0,273
159,17031841200.0,270
160,17031230900.0,270
161,17031031000.0,268
162,17031240300.0,268
163,17031841300.0,268
164,17031030703.0,268
165,17031030800.0,267
166,17031231500.0,263
167,17031430500.0,263
168,17031834300.0,262
169,17031809400.0,262
170,17031843900.0,261
171,17031251800.0,253
172,17031283100.0,252
173,17031838700.0,250
174,17031210900.0,249
175,17031030101.0,248
176,17031243000.0,244
177,17031831400.0,244
178,17031843300.0,242
179,17031010400.0,240
180,17031060300.0,238
181,17031221600.0,237
182,17031430200.0,236
183,17031010501.0,234
184,17031010202.0,233
185,17031843000.0,231
186,17031061200.0,231
187,17031210602.0,227
188,17031010503.0,226
189,17031252000.0,224
190,17031252202.0,221
191,17031031501.0,219
192,17031030706.0,219
193,17031210700.0,218
194,17031830800.0,217
195,17031221500.0,215
196,17031230700.0,213
197,17031842600.0,211
198,17031062300.0,208
199,17031710800.0,208
200,17031310900.0,207
201,17031282700.0,205
202,17031020802.0,205
203,17031030900.0,204
204,17031010702.0,201
205,17031050500.0,200
206,17031140800.0,200
207,17031220400.0,200
208,17031231200.0,197
209,17031160700.0,192
210,17031051400.0,191
211,17031836600.0,187
212,17031062400.0,184
213,17031690900.0,184
214,17031050600.0,183
215,17031838000.0,182
216,17031610300.0,182
217,17031460500.0,182
218,17031160800.0,179
219,17031241300.0,179
220,17031030604.0,179
221,17031081900.0,178
222,17031420500.0,174
223,17031250700.0,174
224,17031061800.0,173
225,17031710400.0,171
226,17031691400.0,171
227,17031010100.0,170
228,17031241200.0,170
229,17031410900.0,170
230,17031834000.0,170
231,17031400800.0,169
232,17031710200.0,167
233,17031310300.0,166
234,17031150200.0,166
235,17031831800.0,164
236,17031430600.0,163
237,17031440102.0,163
238,17031283800.0,162
239,17031210501.0,162
240,17031807600.0,161
241,17031210502.0,160
242,17031420700.0,160
243,17031660600.0,160
244,17031690400.0,159
245,17031220702.0,158
246,17031400500.0,157
247,17031730201.0,156
248,17031440300.0,156
249,17031691200.0,156
250,17031842100.0,156
251,17031834400.0,155
252,17031835000.0,153
253,17031040600.0,152
254,17031841500.0,152
255,17031160400.0,149
256,17031821600.0,147
257,17031290900.0,147
258,17031431301.0,146
259,17031040202.0,143
260,17031750500.0,143
261,17031840400.0,143
262,17031063303.0,142
263,17031836700.0,142
264,17031161300.0,142
265,17031410500.0,141
266,17031190100.0,141
267,17031030102.0,139
268,17031110100.0,138
269,17031814200.0,137
270,17031140200.0,135
271,17031660900.0,134
272,17031221200.0,134
273,17031420800.0,132
274,17031700501.0,132
275,17031250400.0,132
276,17031030601.0,131
277,17031221000.0,131
278,17031020500.0,130
279,17031350100.0,127
280,17031430400.0,127
281,17031836400.0,126
282,17031842800.0,126
283,17031150300.0,126
284,17031691100.0,125
285,17031062600.0,125
286,17031140702.0,124
287,17031241000.0,122
288,17031440202.0,121
289,17031390300.0,121
290,17031840700.0,120
291,17031060500.0,119
292,17031351100.0,118
293,17031842000.0,116
294,17031831600.0,116
295,17031140400.0,113
296,17031691000.0,112
297,17031491000.0,112
298,17031031900.0,112
299,17031010502.0,112
300,17031060100.0,109
301,17031660800.0,108
302,17031051300.0,108
303,17031710500.0,106
304,17031390400.0,106
305,17031480400.0,106
306,17031110502.0,106
307,17031836800.0,105
308,17031050100.0,104
309,17031831500.0,104
310,17031020801.0,104
311,17031210601.0,103
312,17031301200.0,103
313,17031040100.0,102
314,17031661000.0,102
315,17031191100.0,101
316,17031020702.0,101
317,17031160300.0,101
318,17031671500.0,100
319,17031220300.0,100
320,17031071600.0,99
321,17031430102.0,99
322,17031540101.0,98
323,17031250800.0,98
324,17031200200.0,98
325,17031251400.0,98
326,17031530501.0,97
327,17031832900.0,97
328,17031808002.0,97
329,17031020902.0,95
330,17031020901.0,95
331,17031251500.0,92
332,17031839700.0,92
333,17031842500.0,92
334,17031760801.0,91
335,17031730500.0,90
336,17031822102.0,90
337,17031140602.0,90
338,17031242900.0,89
339,17031190800.0,89
340,17031650500.0,88
341,17031490902.0,87
342,17031240200.0,87
343,17031450300.0,87
344,17031310200.0,86
345,17031839900.0,86
346,17031810502.0,86
347,17031251300.0,86
348,17031240600.0,86
349,17031150800.0,85
350,17031430300.0,85
351,17031430700.0,85
352,17031240900.0,84
353,17031841800.0,84
354,17031071700.0,83
355,17031222700.0,82
356,17031310500.0,82
357,17031292200.0,80
358,17031812301.0,80
359,17031837300.0,80
360,17031242800.0,79
361,17031690300.0,78
362,17031160501.0,78
363,17031491400.0,78
364,17031222500.0,78
365,17031837100.0,77
366,17031282800.0,77
367,17031292500.0,76
368,17031040900.0,76
369,17031240700.0,76
370,17031030400.0,75
371,17031681200.0,75
372,17031251100.0,75
373,17031160601.0,75
374,17031031800.0,74
375,17031630300.0,74
376,17031400300.0,74
377,17031410600.0,74
378,17031710700.0,74
379,17031420600.0,74
380,17031816100.0,74
381,17031711200.0,73
382,17031040700.0,73
383,17031381400.0,73
384,17031681100.0,72
385,17031151002.0,72
386,17031251200.0,72
387,17031190200.0,72
388,17031030103.0,71
389,17031051200.0,71
390,17031060200.0,71
391,17031220902.0,71
392,17031672000.0,70
393,17031220701.0,70
394,17031831200.0,70
395,17031838800.0,69
396,17031030603.0,69
397,17031600900.0,68
398,17031836000.0,68
399,17031160200.0,68
400,17031837400.0,68
401,17031210400.0,67
402,17031836100.0,67
403,17031810301.0,66
404,17031843100.0,66
405,17031251600.0,65
406,17031310400.0,64
407,17031252201.0,63
408,17031020100.0,63
409,17031200402.0,63
410,17031491100.0,63
411,17031020602.0,63
412,17031390100.0,62
413,17031470100.0,61
414,17031242700.0,61
415,17031291200.0,61
416,17031808100.0,60
417,17031711000.0,60
418,17031812500.0,60
419,17031570300.0,60
420,17031530200.0,59
421,17031030300.0,59
422,17031420300.0,59
423,17031381200.0,59
424,17031280900.0,59
425,17031020200.0,58
426,17031220601.0,58
427,17031835800.0,58
428,17031020601.0,58
429,17031460302.0,57
430,17031460400.0,57
431,17031283200.0,57
432,17031161000.0,57
433,17031190402.0,56
434,17031130100.0,56
435,17031160502.0,55
436,17031806900.0,55
437,17031250500.0,55
438,17031040300.0,55
439,17031100200.0,54
440,17031250600.0,54
441,17031691300.0,54
442,17031630800.0,54
443,17031191302.0,54
444,17031280400.0,53
445,17031530503.0,53
446,17031200100.0,53
447,17031810200.0,52
448,17031222600.0,52
449,17031650200.0,51
450,17031700200.0,51
451,17031351400.0,51
452,17031817900.0,50
453,17031090200.0,50
454,17031490901.0,50
455,17031834800.0,49
456,17031440900.0,49
457,17031140100.0,49
458,17031681300.0,49
459,17031700100.0,48
460,17031431200.0,48
461,17031411200.0,48
462,17031260800.0,47
463,17031390600.0,47
464,17031261000.0,47
465,17031140701.0,47
466,17031160602.0,46
467,17031130300.0,46
468,17031490800.0,46
469,17031240800.0,45
470,17031630400.0,44
471,17031292400.0,44
472,17031691500.0,43
473,17031100100.0,43
474,17031835500.0,43
475,17031681000.0,42
476,17031490500.0,42
477,17031151100.0,42
478,17031230100.0,42
479,17031271400.0,41
480,17031151200.0,41
481,17031661100.0,41
482,17031830500.0,41
483,17031190300.0,41
484,17031710300.0,41
485,17031171000.0,40
486,17031220901.0,40
487,17031030701.0,40
488,17031400400.0,40
489,17031835600.0,39
490,17031411100.0,39
491,17031140302.0,39
492,17031260600.0,39
493,17031834600.0,38
494,17031600400.0,38
495,17031821900.0,38
496,17031250300.0,38
497,17031821800.0,38
498,17031310700.0,38
499,17031020400.0,37
500,17031160900.0,37
501,17031630500.0,37
502,17031270500.0,37
503,17031050300.0,37
504,17031835100.0,36
505,17031700401.0,36
506,17031730400.0,36
507,17031835200.0,36
508,17031770800.0,36
509,17031839600.0,36
510,17031730600.0,36
511,17031750100.0,36
512,17031809300.0,36
513,17031580600.0,36
